ticker,catalyst_date,asset,indication
GILD,2020-07-24,TECARTUS (brexucabtagene autoleucel) - (ZUMA-2),Relapsed or Refractory Mantle Cell Lymphoma (r/r MCL) - cancer
JAZZ,2020-07-22,XYWAV,Cataplexy and Excessive Daytime Sleepiness in Narcolepsy
JNJ,2020-07-14,TREMFYA (Guselkumab),Psoriatic Arthritis
NVS,2020-07-14,TREMFYA (Guselkumab),Psoriatic Arthritis
VRCA,2020-07-13,YCANTH (cantharidin),Molluscum contagiosum
VTRS,2020-07-09,Hulio (adalimumab-fkjp),Humira biosimilar
MRK,2020-07-08,KEYTRUDA (pembrolizumab) and LENVIMA (lenvatinib),Hepatocellular Carcinoma
ENDP,2020-07-06,QWO (collagenase clostridium histolyticum-aaes),Edematous fibrosclerotic panniculopathy (“cellulite”)
PFE,2020-07-02,RUKOBIA (Fostemsavir),HIV
GSK,2020-07-02,RUKOBIA (Fostemsavir),HIV
RARE,2020-06-30,DOJOLVI (triheptanoin),Long-Chain Fatty Acid Oxidation Disorders (LC-FAOD)
PFE,2020-06-30,BAVENCIO (avelumab),Bladder cancer
HALO,2020-06-29,Subcutaneous PERJETA (Pertuzumab) and (HERCEPTIN) Trastuzumab,HER2-positive early breast cancer
MRK,2020-06-29,KEYTRUDA (pembrolizumab),Colorectal cancer (CRC)
HRTX,2020-06-29,ZYNRELEF (HTX-011),Post operative pain
RHHBY,2020-06-29,Subcutaneous PERJETA (Pertuzumab) and (HERCEPTIN) Trastuzumab,HER2-positive early breast cancer
MOLN,2020-06-26,ABICIPAR,Age-related macular degeneration (AMD)
ABBV,2020-06-26,ABICIPAR,Age-related macular degeneration (AMD)
MRK,2020-06-24,KEYTRUDA (pembrolizumab),Cutaneous squamous cell carcinoma (cSCC)
KPTI,2020-06-22,XPOVIO (selinexor),Diffuse Large B-Cell Lymphoma (DLBCL)
EVOK,2020-06-19,GIMOTI (metoclopramide),Diabetic gastroparesis
EPZM,2020-06-18,TAZVERIK (Tazemetostat),Follicular lymphoma
RARE,2020-06-18,CRYSVITA (burosumab),Tumor-induced osteomalacia (TIO)
MRK,2020-06-17,KEYTRUDA (pembrolizumab),Solid tumors - TMB-H ≥10 mutations/megabase
NVS,2020-06-16,COSENTYX (secukinumab) - PREVENT,Non-radiographic axial spondyloarthritis
LLY,2020-06-15,LYUMJEV (ultra rapid insulin),Diabetes
JAZZ,2020-06-15,ZEPZELCA (lurbinectedin),Small cell lung cancer (SCLC)
ABBV,2020-06-15,JUVÉDERM VOLUMA,Augmentation of the chin region
BGNE,2020-06-12,BRUKINSA (zanubrutinib),Waldenström’s macroglobulinemia
ONC,2020-06-12,BRUKINSA (zanubrutinib),Waldenström’s macroglobulinemia
MRK,2020-06-12,GARDASIL 9,Prevention HPV-Related Head and Neck Cancers
AMGN,2020-06-11,UPLIZNA (Inebilizumab),Neuromyelitis Optica Spectrum Disorder
MRK,2020-06-04,"RECARBRIO (imipenem, cilastatin, and relebactam)",Hospital-Acquired and Ventilator-Associated Bacterial Pneumonia (HABP/VABP)
LLY,2020-06-01,TALTZ (ixekizumab),Non-radiographic axial spondyloarthritis
AZN,2020-06-01,BRILINTA (ticagrelor) - (THEMIS),Type 2 Diabetes / coronary artery disease (CAD)
ABBV,2020-05-29,ORILISSA (Elagolix),Uterine Fibroids
RHHBY,2020-05-29,TECENTRIQ (atezolizumab) + AVASTIN (Bevacizumab) - IMbrave 150,Hepatocellular carcinoma
VYNE,2020-05-29,ZILXI (FMX103),Papulopustular rosacea
ATNXQ,2020-05-29,Oraxol (Oral Paclitaxel),Angiosarcoma
LLY,2020-05-29,CYRAMZA (ramucirumab),Non-small cell lung cancer
NBIX,2020-05-29,ORILISSA (Elagolix),Uterine Fibroids
LLY,2020-05-28,TAUVID (flortaucipir F 18 injection),Patients evaluated for Alzheimer's Disease
